Height,Weight,Sex
164.2,60.599999999999994,male
153.7,48.18,female
165.8,42.120000000000005,female
157.8,45.92,female
170.6,54.599999999999994,male
174.8,55.00000000000001,male
186.6,74.89999999999999,male
157.4,47.400000000000006,male
158.9,44.86,female
157.8,50.82000000000001,female
159.3,50.02,female
181.0,82.7,male
157.0,50.1,female
190.8,81.7,male
175.5,61.35,male
163.1,51.739999999999995,female
189.7,87.25,male
183.8,80.80000000000001,male
172.7,59.55,male
178.5,78.45,male
185.3,72.75,male
173.2,47.49999999999999,male
178.7,52.64999999999999,male
188.8,72.0,male
176.5,72.95,male
153.4,34.760000000000005,female
189.6,80.8,male
172.0,69.2,male
160.0,56.7,female
164.4,45.760000000000005,female
172.6,62.040000000000006,female
175.1,67.45,male
163.4,42.06,female
154.5,44.900000000000006,female
157.5,41.1,female
158.9,47.06,female
170.1,69.45,male
163.6,45.839999999999996,female
158.2,58.38,female
146.1,37.94,female
160.7,39.88,female
163.9,47.760000000000005,female
171.3,47.82000000000001,female
155.3,40.92,female
189.1,79.45,male
168.6,46.14,female
161.7,49.47999999999999,female
169.1,49.04,female
160.7,48.68,female
161.8,55.320000000000014,female
177.9,71.75,male
161.5,56.00000000000001,female
180.1,70.25,male
183.2,85.6,male
156.8,36.42,female
156.7,51.88,female
160.7,55.18,female
180.7,70.85,male
179.3,70.15,male
187.0,73.5,male
181.3,76.05000000000001,male
166.1,63.75,male
166.3,69.15,male
179.0,75.0,male
161.0,44.400000000000006,female
161.1,56.239999999999995,female
182.9,67.85000000000001,male
174.4,61.0,male
173.8,65.30000000000001,male
162.6,48.84,female
168.6,67.6,male
159.3,31.020000000000007,female
175.5,57.75,male
160.0,57.3,female
186.7,72.14999999999999,male
163.0,47.900000000000006,female
163.1,41.739999999999995,female
165.0,45.4,female
179.0,58.9,male
166.4,52.06,female
153.8,48.52000000000001,female
165.2,55.98,female
164.6,47.540000000000006,female
171.6,46.24,female
174.7,53.74999999999999,male
161.4,51.56,female
179.3,66.45,male
172.5,56.85,male
164.8,72.9,male
163.1,37.739999999999995,female
162.1,40.64,female
173.8,65.7,male
158.8,58.32000000000001,female
183.2,86.19999999999999,male
183.7,66.64999999999999,male
161.4,54.96,female
165.1,46.540000000000006,female
174.0,69.9,male
170.1,58.440000000000005,female
168.9,53.46,female
177.5,46.8,female
147.6,50.339999999999996,female
174.6,70.1,male
183.4,76.0,male
156.8,50.32000000000001,female
188.2,82.5,male
167.7,55.449999999999996,male
188.8,69.7,male
173.4,67.9,male
178.6,58.8,male
167.3,51.120000000000005,female
175.3,76.05000000000001,male
158.8,47.72000000000001,female
165.1,49.84,female
174.2,74.69999999999999,male
176.6,65.89999999999999,male
157.3,50.12000000000001,female
154.3,43.32000000000001,female
180.1,63.25,male
178.4,74.0,male
170.3,62.650000000000006,male
153.6,38.94,female
169.3,50.62000000000001,female
176.6,56.9,male
182.3,77.05000000000001,male
188.8,72.60000000000001,male
157.0,39.900000000000006,female
157.5,50.1,female
162.7,54.58,female
159.3,52.220000000000006,female
166.4,47.96,female
184.4,75.60000000000001,male
159.2,51.08,female
161.5,57.55,male
168.8,54.02000000000001,female
176.4,54.6,male
171.0,65.8,male
178.2,76.39999999999999,male
182.8,67.7,male
169.0,42.50000000000001,female
173.7,73.55,male
175.4,72.2,male
180.6,67.8,male
172.7,65.94999999999999,male
153.2,47.18,female
170.7,56.14999999999999,male
180.0,71.6,male
163.9,62.660000000000004,female
169.3,55.820000000000014,female
174.8,57.800000000000004,male
157.5,46.4,female
176.8,61.7,male
167.6,43.74000000000001,female
175.5,70.85,male
152.7,42.18,female
179.7,75.35,male
180.8,62.60000000000001,male
178.6,71.7,male
163.9,59.86,female
161.6,47.04,female
173.8,63.12000000000001,female
165.1,59.540000000000006,female
175.4,81.3,male
156.0,50.50000000000001,female
161.1,45.739999999999995,female
161.9,57.96000000000001,female
156.4,44.260000000000005,female
156.2,50.48,female
158.3,44.42000000000001,female
158.6,63.599999999999994,male
179.7,71.85,male
163.0,64.8,male
155.6,57.44,female
177.9,74.45,male
163.2,50.480000000000004,female
168.8,62.2,male
160.4,37.26000000000001,female
168.2,61.38,female
165.1,73.05,male
167.7,59.379999999999995,female
155.4,52.160000000000004,female
179.7,70.14999999999999,male
154.8,59.620000000000005,female
154.1,38.24,female
166.2,49.580000000000005,female
180.8,69.2,male
160.6,37.53999999999999,female
170.0,57.7,female
170.5,78.85,male
181.9,71.35000000000001,male
166.8,40.62000000000001,female
169.3,57.12000000000001,female
183.8,66.5,male
179.7,78.55,male
166.2,56.480000000000004,female
171.5,67.2,female
155.9,50.36000000000001,female
181.3,70.55000000000001,male
163.5,52.900000000000006,female
152.0,51.400000000000006,female
172.7,66.44999999999999,male
170.9,52.36,female
174.8,62.50000000000001,male
185.1,79.95,male
175.8,62.60000000000001,male
173.7,74.14999999999999,male
167.6,52.24000000000001,female
173.1,58.25,male
165.3,65.15,male
173.2,62.39999999999999,male
167.9,53.860000000000014,female
178.3,71.55000000000001,male
158.4,43.260000000000005,female
165.0,47.0,female
169.6,61.0,male
163.1,56.239999999999995,female
151.4,44.660000000000004,female
155.2,58.879999999999995,female
189.4,63.900000000000006,male
161.7,43.57999999999999,female
158.8,53.12000000000001,female
172.1,74.45,male
161.6,55.84,female
169.1,62.94,female
183.6,79.8,male
153.5,43.00000000000001,female
179.3,77.75,male
185.9,74.35000000000001,male
152.6,49.74,female
168.7,56.24999999999999,male
165.6,48.839999999999996,female
168.0,55.0,female
164.4,50.06,female
152.9,46.46,female
179.1,64.45,male
151.3,47.22000000000001,female
148.7,43.98,female
163.8,53.72000000000001,female
156.1,39.94,female
163.0,43.400000000000006,female
174.8,68.5,male
187.9,87.45,male
171.2,56.89999999999999,male
168.2,50.08,female
179.5,69.15,male
167.1,44.540000000000006,female
146.8,44.32000000000001,female
155.0,46.7,female
162.4,50.16000000000001,female
161.2,48.38,female
166.1,57.04,female
163.0,52.900000000000006,female
162.8,71.30000000000001,male
160.9,67.35000000000001,male
153.9,53.660000000000004,female
159.5,54.6,female
192.7,80.94999999999999,male
182.6,75.3,male
162.4,62.06000000000001,female
173.4,74.9,male
158.7,44.879999999999995,female
167.6,65.2,male
176.4,57.5,male
157.8,38.32000000000001,female
157.5,45.0,female
164.2,77.8,male
156.3,43.72000000000001,female
175.1,71.14999999999999,male
187.2,74.5,male
151.8,38.220000000000006,female
176.1,73.25,male
155.8,46.02000000000001,female
158.8,51.02000000000001,female
177.5,77.65,male
164.2,36.97999999999999,female
186.7,67.35,male
187.7,62.24999999999999,male
179.6,74.8,male
173.3,54.120000000000005,female
166.6,65.3,male
155.7,49.68,female
181.9,68.35000000000001,male
179.7,71.05,male
188.5,60.45,male
172.5,60.55,male
168.4,50.26,female
172.2,54.17999999999999,female
182.7,71.64999999999999,male
178.3,73.55000000000001,male
152.0,42.2,female
157.0,52.800000000000004,female
168.2,66.1,male
172.2,44.67999999999999,female
155.3,49.52,female
184.1,76.05,male
180.8,58.620000000000005,female
180.6,63.9,male
177.9,54.85,male
150.5,46.800000000000004,female
184.1,67.95,male
175.6,62.5,male
159.9,54.46000000000001,female
160.1,44.74000000000001,female
179.0,57.0,male
156.9,45.36000000000001,female
160.5,59.800000000000004,female
177.6,51.099999999999994,male
177.9,69.25,male
165.9,54.06,female
163.8,52.72000000000001,female
150.6,52.24,female
166.7,55.779999999999994,female
182.1,82.95,male
159.6,52.540000000000006,female
183.6,63.8,male
166.6,63.9,male
164.8,49.22,female
187.2,85.39999999999999,male
163.4,60.46,female
180.8,71.5,male
166.1,61.65,male
157.3,44.92000000000001,female
164.9,44.260000000000005,female
164.8,51.52,female
171.7,67.94999999999999,male
182.4,67.5,male
188.5,88.05,male
168.2,50.58,female
173.0,72.1,male
189.9,82.95,male
184.5,70.75,male
179.0,63.0,male
167.2,65.3,male
188.3,68.55000000000001,male
183.1,73.85,male
179.1,65.35,male
166.1,62.739999999999995,female
177.1,68.05,male
164.6,71.39999999999999,male
156.9,53.36000000000001,female
193.1,80.45,male
150.5,44.400000000000006,female
168.4,47.06,female
174.1,73.85,male
180.6,69.39999999999999,male
157.2,39.879999999999995,female
158.8,46.42000000000001,female
163.8,53.32000000000001,female
176.1,64.95,male
159.1,55.94,female
158.4,48.96000000000001,female
161.9,58.260000000000005,female
176.6,55.599999999999994,male
185.0,66.7,male
152.3,42.52000000000001,female
171.1,52.839999999999996,female
162.9,45.56000000000001,female
162.4,46.36000000000001,female
184.8,60.900000000000006,male
179.9,39.46000000000001,female
170.1,72.45,male
163.1,57.63999999999999,female
173.3,58.92000000000001,female
180.0,65.6,male
158.8,42.42000000000001,female
161.6,51.84,female
180.1,68.55,male
151.7,44.38,female
191.9,88.75,male
183.4,77.60000000000001,male
161.1,52.04,female
171.7,54.14999999999999,male
181.9,63.75,male
161.4,55.36,female
188.7,68.35,male
158.2,46.18,female
185.8,78.80000000000001,male
166.8,61.900000000000006,male
179.3,69.15,male
181.0,77.8,male
184.1,82.45,male
174.3,78.85000000000001,male
161.9,46.660000000000004,female
162.1,56.540000000000006,female
161.8,51.62000000000001,female
172.3,45.22,female
186.5,71.65,male
184.7,77.44999999999999,male
164.6,54.24,female
169.7,58.17999999999999,female
162.7,52.879999999999995,female
160.3,47.92,female
162.4,48.66000000000001,female
172.6,73.2,male
175.9,50.35,male
186.3,62.050000000000004,male
162.8,47.92,female
175.0,71.0,male
184.0,70.2,male
157.1,47.940000000000005,female
184.8,76.60000000000001,male
173.8,58.900000000000006,male
170.8,65.0,male
176.6,72.89999999999999,male
154.1,52.14,female
161.4,56.0,male
164.4,51.46000000000001,female
174.3,60.02000000000001,female
175.8,56.400000000000006,male
168.6,60.54,female
183.1,62.65,male
175.0,67.8,male
163.4,55.86,female
176.7,58.14999999999999,male
171.4,65.10000000000001,male
164.9,58.46000000000001,female
163.0,42.2,female
172.2,58.779999999999994,female
179.3,67.85000000000001,male
184.3,77.45,male
165.9,54.95,male
167.7,65.94999999999999,male
164.0,48.00000000000001,female
159.2,56.58,female
172.4,71.7,male
173.3,70.95,male
183.6,77.2,male
180.2,62.699999999999996,male
167.7,50.379999999999995,female
165.7,53.88,female
173.5,77.95,male
177.2,62.699999999999996,male
180.5,70.05,male
158.4,43.660000000000004,female
184.3,73.05000000000001,male
180.6,82.6,male
159.1,46.04,female
167.5,50.5,female
180.7,68.35,male
188.0,79.3,male
158.1,48.24,female
161.4,47.96,female
166.6,63.599999999999994,male
181.7,66.14999999999999,male
169.9,58.46000000000001,female
184.7,62.949999999999996,male
170.2,50.78,female
164.2,43.379999999999995,female
150.8,44.220000000000006,female
165.7,62.55,male
165.9,57.76,female
172.8,60.800000000000004,male
174.7,76.85,male
176.8,66.0,male
169.8,74.0,male
164.2,49.279999999999994,female
159.8,42.220000000000006,female
182.4,85.2,male
155.7,46.88,female
177.9,57.66000000000001,female
157.2,46.08,female
183.1,72.14999999999999,male
155.4,56.260000000000005,female
172.4,67.8,male
166.5,59.900000000000006,female
188.5,76.35,male
159.4,51.160000000000004,female
170.8,50.120000000000005,female
171.0,52.800000000000004,female
183.0,73.5,male
155.1,37.44,female
175.8,84.30000000000001,male
170.9,57.95,male
163.9,59.650000000000006,male
175.8,70.4,male
167.2,57.599999999999994,male
190.3,81.95,male
171.2,57.199999999999996,male
171.7,68.75,male
188.6,78.5,male
159.2,40.480000000000004,female
